Overall Jokl Rank,Athletics,Cycling,Gymnastics,Shooting,Swimming,Coastline (Km) (2018),Temperature (1901-2016 [C]),GDP (US Billion Dollar),Elevation (Feet),Status of Women,Democracy Index,Population
4.54,4.54,,,,,0,19.73,4.41,2074.48,0.61,3.14,1160164
4.34,4.34,,,,,37,24.08,50.4,1700,0.51,1.13,89561403
4.18,4.18,,,,,125.5,27.93,5.92,500,,,168775
3.98,3.98,,,,,350,26.96,1.34,125.41,,2.63,1968001
3.18,,,,3.18,,0,11.9,2.45,9015.38,0.66,5.3,771608
2.65,2.65,,,247.75,,116,26.83,0.85,1265.65,,,55191
2.12,,,,,2.12,853,26.98,18.9,1744.84,0.55,2.7,43849260
2.06,2.06,,,,,754,27.75,7.59,859.8,0.58,3.92,4649658
2.05,2.05,,,,,0,12.92,19.1,5905.75,0.37,2.85,38928346
2.03,,,2.03,,,4.1,9.57,7.19,152.48,,,39242
1.65,,,,,1.65,80,27.43,1.83,72.67,,4.33,2416668
1.16,,,,,1.16,4828,22.48,14.08,1783.01,0.62,5.64,27691018
1.15,1.15,,,,,1143,27.51,0.19,23.7,,,119449
1.04,1.04,,,,,0,26.87,11.31,1701.23,0.55,1.61,16425864
1.04,,,,,1.04,0,25.07,2.22,1967.08,0.51,1.32,4829767
0.57,0.57,,,,,24,28.1,47.27,36.98,,,38717
0.52,,,,0,0.52,0,11.03,3.15,6717.81,,,77265
0.42,,,,,0.42,0,12.09,30.64,6901.26,0.72,5.28,29136808
0,0,,,,,3025,26.91,7.7,1377.25,0.56,,15893222
